央视,#genre#
老故事,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-LGS-HD/index.m3u8
发现之旅,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-FXZL-HD/index.m3u8
环球奇观,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-HQQG-HD/index.m3u8
国学,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-GX-HD/index.m3u8
优购物,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-YGW-HD/index.m3u8
三佳购物,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-SJGW-SD/index.m3u8
家有购物,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-JYGW-SD/index.m3u8
环球购物,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-JSHQJX-SD/index.m3u8
央广购物,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-YGGW-SD/index.m3u8
时尚购物,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-SSGW-SD/index.m3u8

卫视,#genre#

山东卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-SDWS-HD/index.m3u8
湖南卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-HUNWS-HD/index.m3u8
浙江卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-ZJWS-HD/index.m3u8
北京卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-BJWS-HD/index.m3u8
东方卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-DFWS-HD/index.m3u8
天津卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-TJWS-HD/index.m3u8
江苏卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-JSWS-HD/index.m3u8
河南卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-HNWS-HD/index.m3u8
山西卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-SXWS-SD/index.m3u8
安徽卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-AHWS-HD/index.m3u8
江西卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-JXWS-HD/index.m3u8
东南卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-DNWS-HD/index.m3u8
广东卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-GDWS-HD/index.m3u8
深圳卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-SZWS-HD/index.m3u8
海南旅游,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-HANWS-SD/index.m3u8
湖北卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-HBWS-HD/index.m3u8
广西卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-GXWS-SD/index.m3u8
贵州卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-GZWS-HD/index.m3u8
四川卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-SCWS-HD/index.m3u8
云南卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-YNWS-HD/index.m3u8
陕西卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-SHXWS-SD/index.m3u8
宁夏卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-NXWS-SD/index.m3u8
辽宁卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-LNWS-HD/index.m3u8
吉林卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-JLWS-HD/index.m3u8
黑龙江卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-HLJWS-HD/index.m3u8
内蒙古卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-NMGWS-SD/index.m3u8
甘肃卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-GSWS-SD/index.m3u8
青海卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-QHWS-SD/index.m3u8
兵团卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-BTWS-SD/index.m3u8
西藏卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-XZWS-SD/index.m3u8
新疆卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-XJWS-SD/index.m3u8
家庭理财,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-JTLC-HD/index.m3u8
金鹰卡通,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-JYKT-HD/index.m3u8
山东教育,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-SDJY-HD/index.m3u8
梨园,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-NYPD-HD/index.m3u8
北京纪实,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-JSKJ-HD/index.m3u8
东方财经,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-DFCJ-HD/index.m3u8
河北卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-HEBWS-HD/index.m3u8
河北经济,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-HEBJJ-HD/index.m3u8
河北农民,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-HEBNM-HD/index.m3u8
河北都市,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-HEBDS-HD/index.m3u8
河北影视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-HEBYS-HD/index.m3u8
河北少儿科教,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-HEBSEKJ-HD/index.m3u8
河北公共,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-HEBGG-HD/index.m3u8
河北收视指南,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-HEBSSZN-HD/index.m3u8
河北杂技,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-HEBZJ-HD/index.m3u8
唐山新闻,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-TSXWZH-HD/index.m3u8
唐山生活,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-TSSHFW-HD/index.m3u8
唐山影视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-TSYSHD/index.m3u8
唐山公共,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-TSGG-HD/index.m3u8










