凤凰,#genre#
CCTV17,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-CCTV-17HD/index.m3u8
重温经典,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-CWJD-HD/index.m3u8
CHC家庭影院,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-JTYY-HD/index.m3u8
CHC动作电影,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-DZDY-HD/index.m3u8
劲爆体育,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-JBTY-HD/index.m3u8
游戏风云,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-YXFY-HD/index.m3u8
都市剧场,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-DSJC-HD/index.m3u8
电视指南,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-DSZN-HD/index.m3u8
央视精品,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-YSJP-HD/index.m3u8
风云音乐,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-FYYY-HD/index.m3u8
怀旧剧场,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-HJJC-HD/index.m3u8
风云足球,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-FYZQ-HD/index.m3u8
风云剧场,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-FYJC-HD/index.m3u8
第一剧场,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-DYJC-HD/index.m3u8
世界地理,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-SJDL-HD/index.m3u8
武术世界,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-WSSJ-HD/index.m3u8
兵器科技,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-BQKJ-HD/index.m3u8
早期教育,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-ZQJY-HD/index.m3u8
财富天下,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-CFTX-HD/index.m3u8
生态环境,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-STHJ-HD/index.m3u8
车迷,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-CM-HD/index.m3u8
环球旅游,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-HQLY-HD/index.m3u8
四海钓鱼,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-SHDY-HD/index.m3u8
优优宝贝,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-YYBB-HD/index.m3u8
CCTV-中学生,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-ZXS-HD/index.m3u8
文物宝库,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-WWBK-HD/index.m3u8
CGTN(HD),http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-CGTN-HD/index.m3u8
高尔夫网球,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-GEFWQ-HD/index.m3u8
中国教育-1,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-CETV1-HD/index.m3u8
中国教育-4,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-CETV4-HD/index.m3u8
华诚高清,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-HCGQ-HD/index.m3u8
卡酷动画,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-KKDH-HD/index.m3u8
魅力足球,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-MLZQ-HD/index.m3u8
央视台球,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-YSTQ-HD/index.m3u8
生活时尚,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-SHSS-HD/index.m3u8
动漫秀场,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-DMXC-HD/index.m3u8
乐游,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-LY-HD/index.m3u8
乒羽,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-XFPY-HD/index.m3u8
汽摩,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-QM-HD/index.m3u8
茶频道,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-CPD-HD/index.m3u8
女性时尚,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-NXSS-HD/index.m3u8
书画,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-SH-HD/index.m3u8
快乐垂钓,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-KLCD-HD/index.m3u8
老故事,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-LGS-HD/index.m3u8
发现之旅,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-FXZL-HD/index.m3u8
环球奇观,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-HQQG-HD/index.m3u8
国学,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-GX-HD/index.m3u8
优购物,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-YGW-HD/index.m3u8
三佳购物,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-SJGW-SD/index.m3u8
家有购物,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-JYGW-SD/index.m3u8
环球购物,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-JSHQJX-SD/index.m3u8
央广购物,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-YGGW-SD/index.m3u8
时尚购物,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-SSGW-SD/index.m3u8

卫视,#genre#

山东卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-SDWS-HD/index.m3u8
湖南卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-HUNWS-HD/index.m3u8
浙江卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-ZJWS-HD/index.m3u8
北京卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-BJWS-HD/index.m3u8
东方卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-DFWS-HD/index.m3u8
天津卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-TJWS-HD/index.m3u8
江苏卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-JSWS-HD/index.m3u8
河南卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-HNWS-HD/index.m3u8
山西卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-SXWS-SD/index.m3u8
安徽卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-AHWS-HD/index.m3u8
江西卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-JXWS-HD/index.m3u8
东南卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-DNWS-HD/index.m3u8
广东卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-GDWS-HD/index.m3u8
深圳卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-SZWS-HD/index.m3u8
海南旅游,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-HANWS-SD/index.m3u8
湖北卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-HBWS-HD/index.m3u8
广西卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-GXWS-SD/index.m3u8
贵州卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-GZWS-HD/index.m3u8
四川卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-SCWS-HD/index.m3u8
云南卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-YNWS-HD/index.m3u8
陕西卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-SHXWS-SD/index.m3u8
宁夏卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-NXWS-SD/index.m3u8
辽宁卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-LNWS-HD/index.m3u8
吉林卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-JLWS-HD/index.m3u8
黑龙江卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-HLJWS-HD/index.m3u8
内蒙古卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-NMGWS-SD/index.m3u8
甘肃卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-GSWS-SD/index.m3u8
青海卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-QHWS-SD/index.m3u8
兵团卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-BTWS-SD/index.m3u8
西藏卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-XZWS-SD/index.m3u8
新疆卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-XJWS-SD/index.m3u8
家庭理财,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-JTLC-HD/index.m3u8
金鹰卡通,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-JYKT-HD/index.m3u8
山东教育,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-SDJY-HD/index.m3u8
梨园,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-NYPD-HD/index.m3u8
北京纪实,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-JSKJ-HD/index.m3u8
东方财经,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-DFCJ-HD/index.m3u8
河北卫视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-HEBWS-HD/index.m3u8
河北经济,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-HEBJJ-HD/index.m3u8
河北农民,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-HEBNM-HD/index.m3u8
河北都市,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-HEBDS-HD/index.m3u8
河北影视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-HEBYS-HD/index.m3u8
河北少儿科教,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-HEBSEKJ-HD/index.m3u8
河北公共,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-HEBGG-HD/index.m3u8
河北收视指南,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-HEBSSZN-HD/index.m3u8
河北杂技,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-HEBZJ-HD/index.m3u8
唐山新闻,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-TSXWZH-HD/index.m3u8
唐山生活,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-TSSHFW-HD/index.m3u8
唐山影视,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-TSYSHD/index.m3u8
唐山公共,http://slb.5gtv.hbcatv.cn:8060/live/OP001/IP-TSGG-HD/index.m3u8

MTV,#genre#
  
李丽芬-爱江山更爱美人,https://vd4.bdstatic.com/mda-mm2a18n5jdh6d8bs/sc/cae_h264/1638516147610932793/mda-mm2a18n5jdh6d8bs.mp4
孟庭苇-风中有朵雨做的云,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/Cg9qI5imMInpPvK5Mnm%40%40hd.m3u8
孟庭苇-谁的眼泪在飞,http://vodcdn.video.taobao.com/oss/ali-video/bfcfddb1694a43957962294c2f75bdfb/video.m3u8
陈慧娴-千千阙歌,http://vodcdn.video.taobao.com/oss/ali-video/8f45a35108ebe1b1951d2936007e3cd0/video.m3u8
刘德华-世界第一等,http://em.21dtv.com/songs/60039259.mkv
王菲-执迷不悔,http://vodcdn.video.taobao.com/oss/ali-video/15bf7da88b44048edaabe73d6b17c00b/video.m3u8
伍佰-挪威的森林,http://em.21dtv.com/songs/60032810.mkv
伍佰-世界第一等,http://em.21dtv.com/songs/60039260.mkv
杨钰莹-轻轻告诉你,http://vodcdn.video.taobao.com/oss/ali-video/1905c60363f40cea52f342ec59132da0/video.m3u8
杨钰莹-我不想说,http://vodcdn.video.taobao.com/oss/ali-video/cc97a07de2cac88c025590ef874253fc/video.m3u8
叶倩文-潇洒走一回,http://vodcdn.video.taobao.com/oss/ali-video/371d75312720e701b5f3988d46cdf4ef/video.m3u8
成龙+金喜善-美丽的神话,http://em.21dtv.com/songs/60029222.mkv
Beyond_海阔天空,https://vd2.bdstatic.com/mda-jccg84gp61a7n0ms/sc/mda-jccg84gp61a7n0ms.mp4
Beyond-光辉岁月,https://vd7.bdstatic.com/mda-nfphfcwchqeuc68e/sc/cae_h264/1656073580561051919/mda-nfphfcwchqeuc68e.mp4
